occ_id,stanza,pada,token_index,surface,lemma,morphology,arnold_metre_label,arnold_stratum_code,arnold_stratum,stratum_certainty,source_id,retrieval_date
PUR-OCC-093,09.061.02,a,1,púraḥ,púr-,case=ACC|gender=F|number=PL,MO,N,Normal,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-094,09.088.04,b,5,pūrbhít,pūrbhíd-,case=NOM|gender=M|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-095,09.107.10,c,3,purí,púr-,case=LOC|gender=F|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-096,10.046.05,b,3,purā́m,púr-,case=GEN|gender=F|number=PL,M5,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-097,10.047.04,c,2,pūrbhídam,pūrbhíd-,case=ACC|gender=M|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-098,10.067.05,a,2,púram,púr-,case=ACC|gender=F|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-099,10.087.22,a,4,púram,púr-,case=ACC|gender=F|number=SG,PE2,P,Popular,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-100,10.089.07,b,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,N,Normal,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-101,10.099.07,d,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-102,10.099.11,d,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-103,10.101.08,c,1,púraḥ,púr-,case=ACC|gender=F|number=PL,P,P,Popular,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-104,10.104.08,b,5,pūrbhít,pūrbhíd-,case=NOM|gender=M|number=SG,M,N,Normal,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-105,10.111.10,b,4,pūrbhít,pūrbhíd-,case=NOM|gender=M|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-106,10.138.04,c,5,púryam,púrya-,case=ACC|gender=N|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
