"parpola_class","description","tokens_in_corpus","stored_initial","stored_final","parpola_v_numbers","wells_w_numbers","mahadevan_m_numbers"
"P289","Trapezoid with no bottom line, small box resting on the top middle","4","0","1","V030 V261","W575","M197"
"P290","Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table.","1","0","1","V436","W578 W579","M198"
"P291","Tall table. Underside has a horizontal line enclosing the top part of the underside, with vertical hatches inside. Small box on top of the table. Left paren attached to left side, paren has small semicircle at center. Semicircle has diagonal continuing through the paren.","0","0","0","V576","",""
"P292","Tall table. Small decoration on top","0","0","0","V371 V773","W570 W571","M199 M200"
"P293","Large 'H', possibly with top points connected by horizontal bar","1","0","1","V057 V055 V447","W315 W360","M199"
"P294","Large 'H', possibly with top points connected by horizontal bar. Table for a hat.","1","0","1","V334","W361","M203"
"P295","Large 'H', possibly with top points connected by horizontal bar. Vertical lines come down from the crossbar.","0","0","0","V279","W318","M188"
"P296","Two long vertical strokes, connected by multiple horizontal lines","1","0","1","V056 V686","W317","M186"
"P297","Ladder motif. Two nearby vertical lines with a number of horizontal lines going across the middle, going the length of the verticals.","0","0","0","V725","",""
"P298","An 'H', but the crossbar is multiple small boxes. Possibly with an upward tail coming from the bottom left","0","0","0","V379 V704","W319",""
"P299","Two 'H's, but the crossbars are multiple small boxes. H's share one of the vertical lines.","0","0","0","V444","","M185"
"P300","Two narrow vertical lines, three diagonals connecting them. Tail coming horizontally off top, right edge has a thin triangle sharing part of the edge","1","0","0","V270 V333","","M187"
"P301","Small box with horizontal hatching, vertical lines coming from top left and bottom right corners","6","5","0","V041 V479","W526 W527","M254"
"P302","Box in center. Vertical lines coming from top left and right. Vertical coming from bottom right, extended by a horizontal at the bottom.","0","0","0","V567","W363","M255"
"P303","H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar","3","0","1","V275 V519","W322 W323 W324 W325","M182"
"P304","H with two horizontal bars across the middle, with vertical lines dropping down from the crossbar. All connected by a short diagonal to a tall vertical stroke on left","0","0","0","V079 V800","W321","M183"
"P305","Long horizontal at bottom, multiple vertical lines coming off for the entire length","0","0","0","V058 V716","W420","M189"
"P306","Long horizontal at bottom, multiple vertical lines coming off for the entire length. Each vertical decorated near top, low horizontal is made of abutting small rectangles, possibly decorated","0","0","0","V080 V474","W421 W422 W423 W425 W426 W427 W428 W429 W430","M190"
"P307","Box with open top, diagonal line coming off top right and outward. Bottom has a small rect with vertical lines","1","0","1","V362","W329","M191"
"P308","M with the bottom of the legs connected by a horizontal line, and vertical lines connected at midpoint by horizontal line","0","0","0","V075","W335","M192"
"P309","M with the bottom of the legs connected by horizontal lines, and vertical line decoration","3","0","0","V076","W336 W337 W338","M193"
"P310","Simple U with no other decoration","2","0","1","V246 V548","W700","M328"
"P311","U with two small vertical strokes inside the top","1","0","0","V201 V720","W701","M329"
"P312","U with three small vertical strokes inside the top","0","0","0","V202 V707","W703","M330"
"P313","U with several small strokes off the bottom","1","0","0","V359 V267","W732 W734","M332"
"P314","U with several small strokes off the bottom, caret hat","0","0","0","V088 V779","W731","M334"
"P315","Large 'V' with a tall vertical coming from the vertex (making a large bird foot)","0","0","0","V710","","M365"
"P316","U with a long vertical stroke inserted into the gap of U","19","1","2","V197 V398 V532","W704 W705 W706 W707","M336"
"P317","U with several small strokes off the bottom, vertical line with possible decoration at bottom inserted into the U","0","0","0","V407 V322","W735 W736","M335"
"P318","U with upward-bowed line or wagon wheel near the bottom","0","0","0","V283","W712",""
"P319","U with X going from side to side near the bottom","0","0","0","V714 V746","W711",""
"P320","A cat's paw perhaps, two vertical strokes on each side, and four fingers, with fingers on one side a little shorter than the other","2","1","1","V203 V484","W716 W717","M341"
"P321","Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Three vertical lines off top horizontal. Capped by 'table'.","0","0","0","V751","W719","M339"
"P322","Tall vertical on left, half vertical on top right, the right vertical then continues in a curve to connect to the bottom of the left vertical. Top is closed by a horizontal. Top is a sequence of small boxes","0","0","0","V337 V705","W721","M338"
"P323","U with 'tree' motif sprouting from the bottom","0","0","0","V128 V776","W708 W709 W710",""
"P324","Classic jar symbol with two horizontal handles at the top of each arm pointed outward","99","77","1","V204 V526","W740","M342"
"P325","Classic jar symbol with two horizontal handles at the top of each arm pointed outward, single small vertical stroke inside mouth of jar","14","0","1","V205 V209","W741","M343"
"P326","Classic jar symbol with two horizontal handles at the top of each arm pointed outward, two small vertical strokes inside mouth of jar","3","0","0","V206 V413","W742 W743 W744","M344"
"P327","Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth","1","0","1","V208 V207 V414 V706","W745 W746 W747","M345"
"P328","Classic jar symbol with two horizontal handles at the top of each arm pointed outward, four small vertical strokes in mouth","0","0","0","V749","W748",""
"P329","Classic jar symbol with two horizontal handles at the top of each arm pointed outward, three small vertical strokes in mouth. Three small strokes at bottom. Overlaid by a decorated caret","0","0","0","V494 V774","W749","M346"
"P330","Classic jar symbol with two horizontal handles at the top of each arm pointed outward. Inside has a wagon wheel at bottom, attached to a double headed pitchfork at top","0","0","0","V367","W751",""
"P331","U with jar handles on left, trifurcated tree on right","0","0","0","V386","W750","M352"
"P332","U with decorated branching at top","11","0","0","V248 V210 V211 V276 V395 V428 V480","W752 W760","M347 M358"
"P333","U with trifurcated trees for handles, very low X connecting the U legs near the bottom","0","0","0","V364","W761","M357"
"P334","U with trifurcated trees for handles, very low caret in outline with small diamond in the tip","0","0","0","V752","","M356"
"P335","U with trifurcations at the tips, with full height vertical stroke on left, connected together with horizontal stroke","1","0","0","V448","W765","M349"
"P336","U with trifurcated trees for handles, small check-mark on right side","0","0","0","V361","W764","M350"
"P337","U with trifurcated trees for handles, wagon wheel circumscribed fully within","0","0","0","V213 V281","W753","M355"
"P338","Upside down U, with five small vertical strokes within","0","0","0","V401","W931","M317"
"P339","Upside down U, with a wagon wheel above two small vertical strokes within","0","0","0","V121","W930","M393"
"P340","Upside down U, with a small 'H' within","0","0","0","V083","","M316"
"P341","Four rounded lines going upward, curving into each other at top, with a caret hat above all, and two diagonal strokes across the four lines","1","1","0","V089","W932","M318"
"P342","A left and right paren connected only at the top, with the left paren swooping upward into the center from the bottom","2","0","1","V165 V726","W165","M319"
"P343","A left and right paren connected only at the top, with the left paren swooping upward into the center from the bottom. Small diagonal coming off top-right","0","0","0","V471","W166","M320"
"P344","The 'headphones' motif. Upside down U with small cirles on each end","0","0","0","V239","W167","M321"
"P345","The 'headphones' motif. Upside down U with small cirles on each end. Tall 'Y' inscribed and attached inside","0","0","0","V286","W168","M322"
"P346","Capital 'T' with a small leaf oriented vertically attached to both sides of the top bar","1","0","1","V192 V785","W171","M409"
"P347","Two leaves horizontally adjacent, with a small horizontal line connecting them","0","0","0","V581","W169","M408"
"P348","Two leaves horizontally adjacent, with a small horizontal line connecting them. Caged by two inward sloping vertical lines","0","0","0","V737","W170","M409"
"P349","Two vertical leaves, slightly overlapping","10","0","2","V169 V533","W840","M403"
"P350","Two overlapping leaves, bracketed by two small stacked vertical lines on each side","1","0","0","V506","","M404"
"P351","Two vertical leaves, slightly overlapping. Small tree motif coming from right hand side","0","0","0","V496","W841","M405"
"P352","Two overlapping leaves with diagonal hatches across the three midsections, possibly with a cage of small vertical strokes","2","0","0","V170 V309","W845","M407"
"P353","Three stacked leaves, possibly with vertical stroke through the center","2","0","1","V196 V296 V694","W215 W216","M415 M417"
"P354","Three stacked leaves. Caged by two tall vertical strokes","0","0","0","V709","W217","M416"
"P355","Simple leaf or diamond, possibly rotated 45 degrees","4","0","2","V381 V098 V111 V157 V387 V415 V684","W790 W850","M261 M373 M374"
"P356","Simple leaf or diamond, possibly rotated 45 degrees. Small tree of right hand side","0","0","0","V175","W860","M262"
"P357","Simple leaf, two small inverted carets off right, diagonal with orthogonal upware strokes on left","0","0","0","V734","",""
"P358","Leaf with small strokes coming out diagonally on all four diagonals","2","0","0","V176","",""
"P359","Diamond with two perpendiculars coming off each edge (see similarity with P260)","2","0","2","V115","W853","M264"
"P360","Leaf on vertical line, with sun rays coming out from the top","1","0","1","V377","W373","M399"
"P361","Diamond with diagonal line crossing lower right edge","0","0","0","V118","W851","M263"
"P362","Diamond with small flag coming from bottom","0","0","0","V525","W859",""
"P363","Diamond with two horizontally adjacent boxes on a short vertical stick inside near bottom","0","0","0","V112","W858","M266"
"P364","Leaf with tree at bottom","17","0","2","V161 V537","W803 W805 W806","M387"
"P365","Leaf with tree at bottom, caged by four small vertical strokes","0","0","0","V540 V255","W804 W807","M388 M390"
"P366","Leaf with small vertical stroke inside","1","1","0","V158 V431","W832","M375"
"P367","Leaf with small vertical stroke inside, small tooth coming off top right","0","0","0","V200 V727","W834","M376"
"P368","Leaf with small dot inside","2","0","1","V159 V691","W808 W809 W810",""
"P369","Leaf with small square hatched decoration inside","3","0","0","V160 V700","W812 W813 W814","M381"
