"cand_id","cdial_id","headword","donor_family","direction","turner_hedged","turner_rv_tag_in_entry","rv_simplex_lemma","rv_simplex_tokens","rv_derivative_lemmas","rv_compound_lemmas","rv_books_simplex","rv_strata_simplex","bracket","source_id","retrieval_date"
"DE-CAND-086","3401","kūpa","dravidian","into-Indo-Aryan","no","no","kū́pa-","1","","","1:1","C:1","← Drav. (Tam. kūmpu 'mast, cone-shaped pinnacle of chariot', Mal. kūmpu 'mast, pointed heap', Tu. kū̆vè 'mast') T. Burrow BSOAS xi 135, xii 375. Prob. therefore to be separated from kū́pa-¹: nevertheless for semantic development, 'pit ~ heap ~ post' see kū́pya-, *khaḍa-², khātra-, mēthí-, skambhá- a","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-087","3412","kū́rdati","dravidian","into-Indo-Aryan","no","no","","0","","","","","gū́rdati, khū́rdatē Dhātup.: prob. ← Drav. (Tam. kuti, Kan. gudi 'to spring') T. Burrow BSOAS xii 375","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-088","3462","kētaka","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. EWA i 264 with lit.: also cf. Savara keda. In S. it collides with kadala- of Austroas. origin.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-089","3465","kēmuka","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. kēvuka- m. Car., kēcuka- m. Suśr., kacu- m., kacvī- f. lex., kēlūṭa- m. Npr., also 'a kind of potherb' Car.: ← Drav. EWA i 266","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-090","3466","kēyūra","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. (cf. esp. Mal. kayyuṟa 'glove') T. Burrow BSOAS xii 375, EWA i 266","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-091","3484","kōkila","munda","into-Indo-Aryan","no","no","","0","","","","","PMWS 47 sanskritized from MIA. kōila- ← Proto-muṇḍa *ko{y}ila = Sant. kuilạ 'black': all NIA. forms must or may rest on *kōilla-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-092","3493","kōṭa","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. T. Burrow TPS 1945, 95: cf. kuṭī-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-093","3496","kōṭará","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. T. Burrow BSOAS xii 376: supported by variety of initial (k-, kh-) and medial consonants (-ṭ-, -ṭṭ-, -l-) in NIA.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-094","3502","*kōḍamba","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. see kuṭa-¹","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-095","3503","*kōḍi","dravidian","out-of-Indo-Aryan","no","no","","0","","","","","J. Przyluski RoczOrj iv 231 ← Austro-as. (Mahle kuri, Birhar kuṛi, Kharia kori, Juang koḍi: prob. same as word for 'man', i.e. '20 fingers') whence → Drav. (Kurukh kūrī, Malto koṛi, Kui kōḍe)","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
